address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
23 Quai Anatole France,poi,83392,48.862078,2.322534,Paris,Concorde Atlantique,4adcda06f964a520043321e3,0,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=83392,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83392
17 Place du Trocadéro,poi,83457,48.862300919263,2.288224697113,Paris,Palais de Chaillot,4adcda09f964a520043421e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=83457,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83457
Quai François Mauriac,poi,83470,48.833678839753,2.3756861686707,Paris,Bibliothèque Nationale de France (BNF),4adcda09f964a520133421e3,0,Library,http://tour-pedia.org/api/getPlaceDetails?id=83470,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83470
Place Charles de Gaulle,poi,83481,48.873797,2.294952,Paris,Arc de Triomphe,4adcda09f964a520de3321e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=83481,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83481
4 Boulevard du Palais,poi,83483,48.855919909377,2.3446369171143,Paris,Palais de Justice de Paris,4adcda09f964a520e23321e3,0,Courthouse,http://tour-pedia.org/api/getPlaceDetails?id=83483,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83483
Place du Panthéon,poi,83488,48.846283325284,2.3460638523102,Paris,Panthéon,4adcda09f964a520ea3321e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=83488,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83488
15 Rue de Vaugirard,poi,83496,48.848776,2.337293,Paris,Palais du Luxembourg,4adcda09f964a520fb3321e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=83496,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83496
18 Rue de Dunkerque,poi,83507,48.880775847872,2.3552370071411,Paris,Gare SNCF de Paris-Nord,4adcda0af964a5202c3421e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=83507,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83507
Place Octave Chanute,poi,83508,48.865806,2.407556,Paris,La Campagne à Paris,4adcda0af964a5202e3421e3,0,Housing Development,http://tour-pedia.org/api/getPlaceDetails?id=83508,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83508
Hôtel d'Évreux,poi,83512,48.870333993871,2.3162339595141,Paris,Palais de l'Élysée,4adcda0af964a520333421e3,0,Government Building,http://tour-pedia.org/api/getPlaceDetails?id=83512,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83512
Port de la Bourdonnais,poi,83517,48.860423405685,2.2939538955688,Paris,Bateaux Parisiens,4adcda0af964a520433421e3,0,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=83517,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83517
14 rue La Fontaine,poi,83522,48.852303,2.27454,Paris,Castel Beranger,4adcda0af964a520613421e3,0,Building,http://tour-pedia.org/api/getPlaceDetails?id=83522,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83522
15 rue Merlin,poi,83533,48.860440894381,2.3851696890505,Paris,Salle Olympe de Gouges,4adcda0bf964a520993421e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=83533,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83533
